No,Brand,Nama barang,Isi per Dus,Isi per Kotak,Harga
423,ONDA,"V 699 GWC ONDA 1/2""",24,2,400250
424,ONDA,"V RING ONDA 3/4"" X 1/2""",,,22250
425,ONDA,"V RING ONDA 1 "" X 3/4""",,,0
426,ONDA,"V RING ONDA 1-1/2"" X 1""",,,0
427,ONDA,"WATER GAUGE VALVE ONDA 1/2""",,,0
428,ONDA,WATER LEVEL CONTROL SWITCH ONDA,50,1,75250
429,ONDA,"WATER METER BRASS ONDA 1/2""",,,596000
430,ONDA,"WATER METER BRASS ONDA 3/4""",,,1082000
431,ONDA,"WATER METER BRASS ONDA 1""",,,1843250
432,ONDA,"WATER METER PLASTIC ONDA 1/2""",,,536000
433,ONDA,WCF 01 ONDA,,,41500
434,ONDA,"Y 316 FA ONDA 1/2""",60,5,103000
435,ONDA,"Y 318 CA ONDA 1/2""",60,5,153000
436,ONDA,"Y 319 CU ONDA 1/2""",75,5,133000
437,ONDA,"Y 320 C ONDA 1/2""",45,3,263000
438,ONDA,"Y 321 C ONDA 1/2""",60,5,153250
439,ONDA,"Y 325 GWC ONDA 1/2""",36,3,156000
440,ONDA,"Y 327 GKU ONDA 1/2""",24,2,212500
441,ONDA,"Y 388 GKU ONDA 1/2""",18,1,373500
442,ONDA,"Y STRAINER ONDA 1/2""",60,10,152250
443,ONDA,"Y STRAINER ONDA 3/4""",40,8,240250
444,ONDA,"Y STRAINER ONDA 1""",24,6,359750
445,ONDA,"Y STRAINER ONDA 1-1/4""",16,4,513000
446,ONDA,"Y STRAINER ONDA 1-1/2""",8,2,712500
447,ONDA,"Y STRAINER ONDA 2""",6,2,1191500
448,ONDA,"Y STRAINER ONDA 2-1/2""",4,1,2550500
449,ONDA,"Y STRAINER ONDA 3""",3,1,3941500
450,ONDA,"Y STRAINER ONDA 4""",1,1,4587250
451,ONDA,,,,
452,ONDA,,,,
453,ONDA,"ALGP ONDA 1/2"" X 1/2"" (QF 20)",,,167500
454,ONDA,"ALPE ONDA 1/2"" X 1/2"" (MAGNETIC)",,,163000
455,ONDA,"ALPE ONDA 1/2"" X 1/2"" (QF 26)",,,222000
456,ONDA,"ALPE ONDA 1/2"" X 3/4"" (MAGNETIC)",,,166000
457,ONDA,"ALPE ONDA 1/2"" X 3/4"" (QF 19)",,,222000
458,ONDA,"ALPE ONDA 3/4"" X 3/4"" (MAGNETIC)",,,221750
459,ONDA,"BALL VALVE ONDA 1/2"" MAGNETIC",,,101500
460,ONDA,"BWC ONDA 1/2"" X 3/4""",,,140750
461,ONDA,"FERULLE CUTTER ONDA 1/2""",,,107250
462,ONDA,"FERULLE CUTTER ONDA 3/4""",,,156250
463,ONDA,KEY LOCKABLE MAGNETIC,,,132000
464,ONDA,KEY LOCKABLE SPRING,,,139500
465,ONDA,"LGPF ONDA 1"" X 1"" (QF 23)",,,408750
466,ONDA,"LGPF ONDA 1-1/2""X1-1/2"" (QF 23)",,,1338750
467,ONDA,"LGPF ONDA 1-1/4""X1-1/4"" (QF 23)",,,678000
468,ONDA,"LGPM ONDA 1/2"" X 1"" (QF 21)",,,400500
469,ONDA,"LGPM ONDA 1/2""X1/2"" (QF 21)",,,166000
470,ONDA,"LGPM ONDA 1/2""X3/4"" (QF 21)",,,173000
471,ONDA,"LGPM ONDA 3/4"" X 3/4"" (QF 21)",,,190750
472,ONDA,"LPE ONDA 1"" X 1"" (MAGNETIC)",,,389500
473,ONDA,"LPE ONDA 1/2"" X 3/4"" (MAGNETIC)",,,157250
474,ONDA,"LPE ONDA 1/2"" X 3/4"" (QF 17)(BALL VALVE STRAIGHT ID25X3/4 BRONZE)",,,208000
475,ONDA,,,,
476,ONDA,M. TUL,120,10,
477,ONDA,S 88 CCS + SEAL TAPE ONDA (BLISTER PACK),36,,
478,ONDA,,,,
