No,Brand,Nama barang,Isi per Dus,Isi per Kotak,Harga
125,ONDA,"FEMALE UNION ONDA 1""",,,108750
126,ONDA,"FEMALE UNION ONDA S1620 X 1/2"" F",,,44750
127,ONDA,"FH F 1/2"" F 1/2"" ONDA 25CM",180,18,46750
128,ONDA,"FH F 1/2"" F 1/2"" ONDA 30CM",180,18,47250
129,ONDA,"FH F 1/2"" F 1/2"" ONDA 35CM",180,18,53000
130,ONDA,"FH F 1/2"" F 1/2"" ONDA 40CM",180,18,53500
131,ONDA,"FH F 1/2"" F 1/2"" ONDA 45CM",180,18,61500
132,ONDA,"FH F 1/2"" F 1/2"" ONDA 50CM",180,18,62250
133,ONDA,"FILTER ONDA 1/2""",120,,7250
134,ONDA,"FILTER ONDA 3/4""",80,,10000
135,ONDA,"FILTER ONDA 1""",60,,12500
136,ONDA,"FILTER ONDA 1-1/4""",36,,18250
137,ONDA,"FILTER ONDA 1-1/2""",24,,23750
138,ONDA,"FILTER ONDA 2""",18,,35500
139,ONDA,"FILTER ONDA 2-1/2""",18,,61250
140,ONDA,"FILTER ONDA 3""",12,,77500
141,ONDA,"FILTER ONDA 4""",6,,136500
142,ONDA,"FILTER PERRUNO 1/2""",,,6750
143,ONDA,"FILTER PERRUNO 3/4""",,,8000
144,ONDA,"FILTER PERRUNO 1""",,,9750
145,ONDA,"FILTER PERRUNO 1-1/4""",,,12500
146,ONDA,"FILTER PERRUNO 1-1/2""",,,17000
147,ONDA,"FILTER PERRUNO 2""",,,19250
148,ONDA,"FLOATER (PELAMPUNG) ONDA 1/2""",45,3,184750
149,ONDA,"FLOATER (PELAMPUNG) ONDA 3/4""",45,3,274250
150,ONDA,"FLOATER (PELAMPUNG) ONDA 1""",36,3,333500
151,ONDA,"FLOATER (PELAMPUNG) STAINLESS ONDA 1-1/4""",4,,1486750
152,ONDA,"FLOATER (PELAMPUNG) STAINLESS ONDA 1-1/2""",4,,1774000
153,ONDA,"FLOATER (PELAMPUNG) STAINLESS ONDA 2""",2,,1860750
154,ONDA,"FLOATER (PELAMPUNG) STAINLESS ONDA 2-1/2""",1,,5874250
155,ONDA,"FLOATER (PELAMPUNG) STAINLESS ONDA 3""",1,,7328250
156,ONDA,"FLOATER (PELAMPUNG) STAINLESS ONDA 4""",1,,10478250
157,ONDA,"FLOOR CLEAN OUT ONDA 2""",100,20,178000
158,ONDA,"FLOOR CLEAN OUT ONDA 3""",60,10,258000
159,ONDA,"FLOOR CLEAN OUT ONDA 4""",40,10,365250
160,ONDA,"FLOOR CLEAN OUT ONDA 5""",18,,730750
161,ONDA,"FLOOR CLEAN OUT ONDA 6""",15,,1094000
162,ONDA,FLS 01 ONDA,120,10,89500
163,ONDA,"FLS 02 ONDA 2""",126,1,101500
164,ONDA,"FLS 02 ONDA 3""",120,10,150500
165,ONDA,"FLS 02 ONDA 4""",64,1,228000
166,ONDA,FLS 03 ONDA,96,8,150500
167,ONDA,FLS 04 ONDA,72,6,200250
168,ONDA,FLS 05 ONDA,96,8,201750
169,ONDA,FLS 06 ONDA,48,8,232000
170,ONDA,FLS 07 ONDA,48,8,244250
171,ONDA,FLS 08 ONDA,24,4,427000
172,ONDA,"FLS 09 ONDA 4"" X 2""",24,,405000
173,ONDA,FLS 10 ONDA SQUARE FRAME,200,,60500
174,ONDA,FLS 11 ONDA,96,24,95000
175,ONDA,FLS 12 ONDA WITH SQUARE FRAME,72,1,139000
